NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG
JUSTIN JACKSON,2023,29.1,2,Min,F,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUSTIN JAMES,2020,24.31,36,Sac,G-F,8.6,3.9000000000000004,0.8,0.6,0.22,0.08,0.42,6.24
JUSTIN MINAYA,2022,24.0,4,Por,F,22.2,4.3,3.8,1.0,0.5,1.3,1.0,14.76
JUSTIN MINAYA,2023,25.1,34,Por,F,11.2,1.8,1.6,0.6,0.3,0.3,0.3,6.12
JUSTIN MINAYA,2024,26.1,19,Por,F,5.3,0.9,0.5,0.4,0.3,0.1,0.3,3.0
JUSTIN PATTON,2020,23.92,13,Hou,C,19.0,5.4,3.8,1.1,0.92,1.08,0.31,17.3
JUSTIN ROBINSON,2020,23.6,9,Okc,G,9.8,2.3,0.8,1.0,0.33,0.0,0.22,5.53
JUSTIN ROBINSON,2021,24.5,25,Mil,G,12.128,3.1079999999999997,0.86,1.26,0.3595999999999999,0.04,0.6816,6.547199999999999
JUSTISE WINSLOW,2020,25.14,26,Mem,F-G,19.5,6.799999999999999,4.5,1.9,0.58,0.46,1.4200000000000002,16.75
JUSTISE WINSLOW,2021,26.040000000000003,48,Lac,F-G,16.162499999999998,5.689583333333334,4.21875,1.7437499999999997,0.7304166666666667,0.5243749999999999,0.9975,16.134583333333328
JUSTISE WINSLOW,2022,27.0,29,Por,F-G,26.8,6.8,5.0,3.4,1.0,0.4,1.5,19.099999999999998
JUSUF NURKIC,2020,26.73,37,Por,C,23.8,11.5,9.0,3.4,1.03,1.08,1.97,31.759999999999998
JUSUF NURKIC,2021,27.63,56,Por,C,28.2,15.0,11.1,2.8,1.11,0.61,2.55,35.129999999999995
JUSUF NURKIC,2022,28.6,52,Por,C,26.699999999999996,13.3,9.1,2.8999999999999995,0.8,0.8,2.3,31.37
JUSUF NURKIC,2023,29.599999999999998,76,Pho,C,27.3,10.9,11.0,4.0,1.1,1.0,2.3,34.1
JUSUF NURKIC,2024,30.599999999999998,51,Cha,C,20.845098039215685,8.905882352941177,7.823529411764706,2.256862745098039,0.7980392156862746,0.6509803921568628,1.892156862745098,24.134313725490195
JUWAN MORGAN,2020,24.08,29,Uta,F,5.1,1.2,1.0,0.3,0.14,0.03,0.14,3.2199999999999993
JUWAN MORGAN,2021,24.98,2,Bos,F,15.5,2.5,2.0,0.5,0.0,0.0,0.0,5.65
KAI JONES,2021,21.23,21,Cha,C-F,3.0,1.0,0.6,0.2,0.05,0.1,0.29,2.1799999999999997
KAI JONES,2022,22.2,46,Cha,C-F,11.9,3.4,2.7,0.3,0.4,0.7,0.7,9.090000000000002
KAI JONES,2024,24.2,40,Lac,C-F,11.690000000000001,4.960000000000001,3.1,0.6700000000000002,0.38000000000000006,0.5200000000000001,0.49000000000000005,11.895
KAISER GATES,2023,27.4,1,Nor,F,7.4,0.0,1.0,0.0,0.0,0.0,0.0,1.2
KARIM MANE,2020,21.0,10,Orl,G,8.8,1.1,1.4,0.4,0.0,0.2,0.3,3.6800000000000006
KARL-ANTHONY TOWNS,2020,25.5,50,Min,C-F,33.8,24.8,10.6,4.5,0.76,1.14,3.2,46.77
KARL-ANTHONY TOWNS,2021,26.4,74,Min,C-F,33.5,24.6,9.8,3.6000000000000005,0.97,1.12,3.05,44.980000000000004
