NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG,FPpG_next,GP_next,FP_total,FP_total_next
ANTHONY EDWARDS,2022,21.7,79,Min,G,36.0,24.6,5.8,4.4,1.6,0.7,3.3,39.66000000000001,42.32999999999999,79.0,3133.140000000001,3344.0699999999993
ANTHONY EDWARDS,2023,22.7,79,Min,G,35.1,25.9,5.4,5.1,1.3,0.5,3.1,42.32999999999999,43.38999999999999,79.0,3344.0699999999993,3427.8099999999995
ANTHONY GILL,2020,28.58,26,Was,F,8.4,3.1000000000000005,2.0,0.4,0.38,0.15,0.31,7.380000000000001,7.949999999999999,44.0,191.88000000000002,349.79999999999995
ANTHONY GILL,2021,29.480000000000004,44,Was,F,10.5,4.1,1.9,0.6,0.11,0.25,0.41,7.949999999999999,8.94,59.0,349.79999999999995,527.4599999999999
ANTHONY GILL,2022,30.5,59,Was,F,10.6,3.3,1.7,0.6,0.1,0.2,0.3,8.94,8.129999999999999,50.0,527.4599999999999,406.49999999999994
ANTHONY GILL,2023,31.5,50,Was,F,9.3,3.8,1.9,0.7,0.3,0.2,0.5,8.129999999999999,4.910000000000001,51.0,406.49999999999994,250.41000000000005
ANTHONY LAMB,2020,23.320000000000004,24,Hou,F,17.3,5.5,2.9,1.0,0.25,0.21,0.79,11.07,2.1,2.0,265.68,4.2
ANTHONY LAMB,2021,24.22,2,San,F,3.9,0.0,0.5,1.0,0.0,0.0,0.0,2.1,14.65,62.0,4.2,908.3000000000001
ARMONI BROOKS,2020,22.95,20,Hou,G,26.0,11.2,3.4,1.5,0.6,0.25,1.1,18.98,11.047962962962961,54.0,379.6,596.5899999999999
ARMONI BROOKS,2021,23.85,54,Hou,G,15.596296296296297,5.333333333333333,1.9277777777777776,1.1518518518518517,0.5172222222222222,0.20722222222222225,0.4998148148148149,11.047962962962961,7.51,10.0,596.5899999999999,75.1
ASHTON HAGANS,2020,21.86,2,Min,G-F,2.1,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,12.979999999999999,19.0,-1.0,246.61999999999998
AUSAR THOMPSON,2023,21.2,63,Det,F,25.1,8.8,6.4,1.9,1.1,0.9,1.3,24.029999999999998,25.47,59.0,1513.8899999999999,1502.73
AUSTIN REAVES,2021,23.87,61,Lal,G,23.2,7.3,3.2,1.8,0.46,0.33,0.66,15.55,22.6,64.0,948.5500000000001,1446.4
AUSTIN REAVES,2022,24.9,64,Lal,G,28.8,13.0,3.0,3.4,0.5,0.3,1.5,22.6,30.509999999999998,82.0,1446.4,2501.8199999999997
AUSTIN REAVES,2023,25.899999999999995,82,Lal,G,32.1,15.899999999999999,4.3,5.5,0.8000000000000002,0.3,2.1,30.509999999999998,36.099999999999994,73.0,2501.8199999999997,2635.2999999999997
AUSTIN RIVERS,2020,28.790000000000003,36,Nyk,G,23.516666666666666,7.883333333333332,2.2416666666666667,2.25,0.8325,0.05416666666666667,1.0,15.608333333333333,11.729999999999999,67.0,561.9,785.9099999999999
AUSTIN RIVERS,2021,29.69,67,Den,G,22.1,6.0,1.7,1.3,0.76,0.09,0.81,11.729999999999999,10.620000000000001,52.0,785.9099999999999,552.24
AVERY BRADLEY,2020,30.470000000000002,27,Hou,G,22.296296296296298,6.4222222222222225,2.1148148148148147,1.7148148148148148,0.7755555555555554,0.15037037037037038,1.0385185185185186,13.271481481481478,12.690000000000001,62.0,358.3299999999999,786.7800000000001
AYO DOSUNMU,2021,22.23,77,Chi,G,27.399999999999995,8.8,2.8,3.3,0.79,0.38,1.4,19.220000000000002,17.24,80.0,1479.9400000000003,1379.1999999999998
AYO DOSUNMU,2022,23.2,80,Chi,G,26.2,8.6,2.7,2.6,0.8,0.3,1.2,17.24,23.16,76.0,1379.1999999999998,1760.16
AYO DOSUNMU,2023,24.2,76,Chi,G,29.099999999999998,12.2,2.8,3.2,0.9,0.5,1.4,23.16,25.65,46.0,1760.16,1179.8999999999999
BAM ADEBAYO,2020,23.83,64,Mia,C-F,33.5,18.7,9.0,5.4,1.17,1.03,2.64,41.56,40.339999999999996,56.0,2659.84,2259.04
BAM ADEBAYO,2021,24.73,56,Mia,C-F,32.6,19.1,10.1,3.4,1.43,0.79,2.64,40.339999999999996,40.03999999999999,75.0,2259.04,3002.9999999999995
BAM ADEBAYO,2022,25.7,75,Mia,C-F,34.6,20.4,9.2,3.2,1.2,0.8,2.5,40.03999999999999,41.330000000000005,71.0,3002.9999999999995,2934.4300000000003
BAM ADEBAYO,2023,26.7,71,Mia,C,34.0,19.3,10.4,3.8999999999999995,1.1,0.9,2.3,41.330000000000005,39.97,78.0,2934.4300000000003,3117.66
BEN MCLEMORE,2020,28.260000000000005,53,Hou,G,17.077358490566038,7.637735849056604,1.9018867924528304,0.7415094339622641,0.4358490566037736,0.1692452830188679,0.8126415094339623,12.034905660377357,14.86,64.0,637.8499999999999,951.04
BEN SHEPPARD,2023,22.7,57,Ind,G,14.3,4.4,1.6,0.9,0.6,0.0,0.3,9.169999999999998,12.709999999999999,63.0,522.6899999999999,800.7299999999999
BEN SIMMONS,2020,24.82,58,Phi,G-F,32.4,14.3,7.2,6.9,1.6,0.6,2.98,36.910000000000004,24.91,42.0,2140.78,1046.22
BEN SIMMONS,2022,26.699999999999996,42,Bro,G-F,26.300000000000004,6.9,6.299999999999999,6.1,1.3,0.5,2.3,24.91,26.530000000000005,15.0,1046.22,397.95000000000005
BEN SIMMONS,2023,27.7,15,Bro,G,23.9,6.1,7.9,5.7,0.8,0.6,1.8,26.530000000000005,20.679411764705883,51.0,397.95000000000005,1054.65
BENNEDICT MATHURIN,2022,20.8,78,Ind,G-F,28.5,16.7,4.1,1.5,0.6,0.2,1.9,24.37,23.1,59.0,1900.8600000000001,1362.9
BENNEDICT MATHURIN,2023,21.8,59,Ind,F,26.1,14.5,4.0,2.0,0.6,0.2,1.6,23.1,26.410000000000004,72.0,1362.9,1901.5200000000002
BILAL COULIBALY,2023,19.7,63,Was,G,27.2,8.4,4.1,1.7,0.9,0.8,1.4,19.57,27.299999999999997,59.0,1232.91,1610.6999999999998
BISMACK BIYOMBO,2020,28.72,66,Cha,C,20.4,5.0,5.3,1.2,0.26,1.12,1.08,16.22,14.68,36.0,1070.52,528.48
BISMACK BIYOMBO,2021,29.619999999999997,36,Pho,C,14.1,5.8,4.6,0.6,0.33,0.72,0.69,14.68,14.389999999999999,61.0,528.48,877.79
BISMACK BIYOMBO,2022,30.6,61,Pho,C,14.3,4.3,4.2,0.9,0.3,1.4,0.8,14.389999999999999,15.0125,40.0,877.79,600.5
BISMACK BIYOMBO,2023,31.6,40,Mem,C,19.75,4.35,5.25,1.325,0.25,0.9,1.075,15.0125,16.770000000000003,28.0,600.5,469.56000000000006
BLAKE GRIFFIN,2020,32.17,46,Bro,F,25.76086956521739,11.0,4.9173913043478255,3.0521739130434784,0.6943478260869564,0.32608695652173914,1.3456521739130434,23.194782608695654,15.809999999999999,56.0,1066.96,885.3599999999999
BLAKE GRIFFIN,2021,33.07,56,Bro,F,17.1,6.4,4.1,1.9,0.48,0.25,0.55,15.809999999999999,14.910000000000002,41.0,885.3599999999999,611.3100000000001
BLAKE WESLEY,2022,20.1,37,San,G,18.1,5.0,2.2,2.7,0.7,0.1,1.8000000000000003,11.990000000000002,11.15,61.0,443.63000000000005,680.15
BLAKE WESLEY,2023,21.1,61,San,G,14.4,4.4,1.5,2.7,0.5,0.1,0.9,11.15,9.22,58.0,680.15,534.76
BOBAN MARJANOVIC,2020,32.75,33,Dal,C,8.2,4.7,3.8999999999999995,0.3,0.06,0.18,0.36,10.189999999999998,6.550000000000001,22.0,336.2699999999999,144.10000000000002
BOBAN MARJANOVIC,2021,33.65,22,Dal,C,5.8,4.5,1.8,0.1,0.0,0.14,0.68,6.550000000000001,7.33,31.0,144.10000000000002,227.23
BOBAN MARJANOVIC,2022,34.7,31,Hou,C,5.5,3.3,1.9,0.3,0.2,0.1,0.5,7.33,6.76,14.0,227.23,94.64
BOBBY PORTIS,2020,26.26,66,Mil,F,20.8,11.4,7.1,1.1,0.79,0.39,0.85,24.259999999999998,30.419999999999998,72.0,1601.1599999999999,2190.24
BOBBY PORTIS,2021,27.16,72,Mil,F,28.2,14.600000000000001,9.1,1.2,0.74,0.71,1.25,30.419999999999998,29.37,70.0,2190.24,2055.9
BOBBY PORTIS,2022,28.2,70,Mil,F,26.0,14.1,9.6,1.5,0.4,0.2,1.2,29.37,27.13,82.0,2055.9,2224.66
BOBBY PORTIS,2023,29.200000000000003,82,Mil,F,24.5,13.800000000000002,7.400000000000001,1.3,0.8000000000000002,0.4000000000000001,1.1,27.13,29.089999999999996,50.0,2224.66,1454.4999999999998
BOGDAN BOGDANOVIC,2020,28.74,44,Atl,G,29.7,16.4,3.6,3.3,1.11,0.3,1.23,28.67,27.34,63.0,1261.48,1722.42
BOGDAN BOGDANOVIC,2021,29.64,63,Atl,G,29.3,15.1,4.0,3.1,1.08,0.22,1.11,27.34,23.900000000000002,54.0,1722.42,1290.6000000000001
BOGDAN BOGDANOVIC,2022,30.6,54,Atl,G,27.9,14.0,3.0,2.8,0.8,0.3,1.2,23.900000000000002,28.729999999999997,79.0,1290.6000000000001,2269.6699999999996
BOGDAN BOGDANOVIC,2023,31.699999999999996,79,Atl,G,30.4,16.9,3.3999999999999995,3.1,1.2,0.3,1.4,28.729999999999997,19.971111111111114,54.0,2269.6699999999996,1078.44
BOJAN BOGDANOVIC,2020,32.08,72,Uta,F,30.799999999999997,17.0,3.9000000000000004,1.8999999999999997,0.63,0.060000000000000005,1.78,24.82,25.610000000000003,69.0,1787.04,1767.0900000000001
BOJAN BOGDANOVIC,2021,32.98,69,Uta,F,30.9,18.1,4.3,1.7,0.49000000000000005,0.01,1.7,25.610000000000003,31.66,59.0,1767.0900000000001,1867.94
BOJAN BOGDANOVIC,2022,34.0,59,Det,F,32.1,21.6,3.8,2.6,0.6,0.1,2.3,31.66,20.80859649122807,57.0,1867.94,1186.09
BOL BOL,2020,21.5,32,Den,C-F,5.0,2.2,0.8,0.2,0.09,0.31,0.41,4.25,5.280000000000001,13.0,136.0,68.64000000000001
BOL BOL,2021,22.4,13,Den,C-F,6.200000000000001,2.5,1.5,0.4,0.08,0.15,0.31,5.280000000000001,21.36,70.0,68.64000000000001,1495.2
BOL BOL,2022,23.4,70,Orl,C-F,21.5,9.1,5.8,1.0,0.4,1.2,1.6,21.36,11.639999999999999,43.0,1495.2,500.5199999999999
BOL BOL,2023,24.400000000000002,43,Pho,C-F,10.9,5.2,3.1999999999999997,0.39999999999999997,0.19999999999999998,0.6,0.39999999999999997,11.639999999999999,13.58,36.0,500.5199999999999,488.88
BONES HYLAND,2021,21.57,69,Den,G,19.0,10.1,2.7,2.8,0.59,0.29,1.25,18.93,20.875,56.0,1306.17,1169.0
BONES HYLAND,2022,22.6,56,Den,G,19.375,11.775,2.375,3.1,0.725,0.25,1.475,20.875,13.65,37.0,1169.0,505.05
