NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
PAYTON PRITCHARD,G,1785.4286717846255,1786.3853489817557,461.2691620835047,1199.6343922756867,1781.8338548338293,2379.1539893969684
BENNEDICT MATHURIN,G-F,1760.7856834588213,1757.768178386157,146.68188491050032,1568.2040612582814,1756.5077420240355,1946.0310367018901
CAMERON JOHNSON,F,1751.0903603438076,1748.9029235607288,324.7416046112693,1335.3518807647722,1737.8371319247497,2165.299470097598
YVES MISSI,C,1709.1934937668468,1707.4148176556394,871.0682555246095,553.2134374726614,1687.6458935183366,2845.5019399792623
ANDREW WIGGINS,F,1701.2834254284292,1699.58376390494,232.5232535789333,1407.6048045731798,1692.702505944505,2001.295804327847
PJ WASHINGTON,F,1694.34701327504,1694.5989319966675,213.9549439725684,1426.5850040099517,1686.1056734974063,1973.7903565542874
NORMAN POWELL,G,1692.2954541837353,1689.6016668378472,268.1839182579297,1354.6601023422984,1681.1775020574748,2039.1892376008323
SANTI ALDAMA,F-C,1686.0102319058965,1681.3513177704028,505.02201738844076,1050.003908236924,1673.6566968511738,2329.3782380913185
NIC CLAXTON,C,1671.0674670156804,1675.305061830151,414.5689481092431,1151.5909317309413,1670.258561743628,2202.5365859211565
CARLTON CARRINGTON,G,1667.258149530182,1675.063291774597,818.7728573793803,607.6820801247275,1667.3179312358257,2730.011007958938
QUENTIN GRIMES,G,1662.205446565154,1660.7056951461057,426.7344950170388,1116.4562569652974,1657.5142420624102,2201.3026476776276
FRED VANVLEET,G,1644.1596867980145,1642.920314547717,237.332166574909,1339.6141212596378,1637.5182925306622,1953.1186431802464
TOUMANI CAMARA,F,1638.842639752495,1638.86882250227,409.75874759352575,1113.19697165517,1638.7108651433182,2154.7481929144387
MALIK BEASLEY,G,1630.3901666376398,1632.3325360278677,308.05404215152635,1238.0918595121443,1627.5119772607143,2033.6496877143854
LAURI MARKKANEN,F-C,1625.703866735888,1619.739608276527,453.0215376351271,1040.6227334598286,1617.5770637178164,2189.7411488015864
COLLIN SEXTON,G,1617.6874447552398,1619.9980340541106,329.147303970457,1202.4927680158614,1613.0086312903918,2046.4364995456638
KAWHI LEONARD,F,1617.1520680131853,1618.5759067763904,205.05877993960428,1363.914790589589,1609.0371585753348,1886.0749833277446
JOHN COLLINS,F-C,1605.7271107031358,1605.6505347999391,202.3751847738132,1350.448544905951,1599.3804273953083,1867.7394868316544
BRANDIN PODZIEMSKI,G,1594.7697722555004,1595.900895062066,135.41704848764104,1421.1395013304418,1595.221811080881,1772.1775218436285
TOBIAS HARRIS,F,1592.977017827444,1596.3370490388463,260.17409703467104,1267.296096177749,1590.5764331677835,1936.3813468937244
KELLY OUBRE JR,F-G,1588.6714607379072,1589.1310416305469,183.51152625327327,1358.2278829708628,1583.186642144369,1827.7787898199226
BRANDON MILLER,F,1576.051223671215,1579.9049600469593,254.92142312599458,1255.2971128627325,1572.9876849575676,1908.9815798359791
DEANDRE AYTON,C,1574.116700029069,1575.2607360732268,145.3878948078638,1389.1221762406713,1575.3896002134852,1762.177048347718
CAM THOMAS,G,1570.8359841958102,1569.5914743568858,497.1040048578405,945.884495591461,1559.4347301587477,2220.314138477425
CHET HOLMGREN,C-F,1564.648823687365,1563.6666341794473,164.13406781582935,1355.2229610840786,1561.5951139430829,1777.0128779351576
DEJOUNTE MURRAY,G,1559.198089894511,1556.4081422927902,284.35442140644795,1200.0544069017303,1541.292585577894,1929.410474172699
BILAL COULIBALY,G,1553.9203824578908,1547.9702960706916,354.5073563852096,1098.7200961650258,1543.9477527461997,2008.640808657083
JOEL EMBIID,C-F,1547.872641869306,1547.6767400796293,354.02885400734027,1103.567950475839,1533.123510393828,2007.800230549898
BROOK LOPEZ,C,1544.292532467288,1549.3736546467346,308.7356866724813,1154.1421307003152,1546.1588358465688,1948.9582631801882
KELDON JOHNSON,F-G,1525.9803519155607,1532.1875073209017,284.7958805153832,1173.2972759899112,1525.3314566778563,1898.382637469745
DE'ANDRE HUNTER,F-G,1525.0266072656982,1524.9020542057965,154.38508050202978,1329.2268333249654,1521.2993865435417,1722.8411205961916
TARI EASON,F,1518.3517932439288,1518.985219053631,262.93300824450483,1184.6928581996256,1512.1916795089085,1860.8690612455232
ZACCHARIE RISACHER,F,1513.5078977620797,1535.7378012500737,715.4159210713542,588.3151401908896,1531.5706781727913,2466.006724463492
DANIEL GAFFORD,F-C,1505.440380399447,1506.5864062526034,294.59724863199034,1131.8672047900734,1501.3482612122275,1888.0045221827943
JABARI SMITH JR,F,1501.624729267334,1499.1490552667888,170.75138922517837,1282.8821221838352,1495.1637680324202,1721.752866297536
NAJI MARSHALL,F,1488.7976772767356,1493.16241686099,328.9699645412078,1083.6541782588304,1483.9230454600656,1911.4185493617624
KEL'EL WARE,C,1486.737421224763,1499.0916437335136,766.5859219753734,498.16285030126977,1493.3348534032534,2491.9404389349666
SCOTTY PIPPEN JR,G,1482.7375375789,1476.5935461392205,728.5289762684575,513.7668237603235,1470.168526053022,2415.5164647110228
ZACH EDEY,C,1482.2342167173558,1485.557783427204,746.9059960430964,511.5807298981857,1475.4467682349707,2448.046997459629
IMMANUEL QUICKLEY,G,1469.8224922912025,1467.7715764347795,302.58682262982273,1084.871157067544,1457.8860886776674,1859.6766428548078
SCOOT HENDERSON,G,1468.9967071706096,1469.6863690261184,108.5096787793332,1329.4097680744233,1470.2313424721692,1607.8342958498652
BOBBY PORTIS,F,1465.18676466965,1466.4332640153807,176.98208210146524,1242.9707986220467,1460.459334186497,1693.44353331048
